case_name,year,link,classification,sme_or_ml_classified
Bristol-Myers Squibb Company v Baker Norton Pharmaceuticals Inc & Anor [2000] EWCA Civ 169 (23 May 2000),2000,https://www.bailii.org/ew/cases/EWCA/Civ/2000/169.html,1,expert
Flack v Hudson [2000] EWCA Civ 360 (06 November 2000),2000,https://www.bailii.org/ew/cases/EWCA/Civ/2000/360.html,0,expert
"A (Children), Re [2000] EWCA Civ 254 (22 September 2000)",2000,https://www.bailii.org/ew/cases/EWCA/Civ/2000/254.html,0,ml
Omoruyi v Secretary Of State For Home Department [2000] EWCA Civ 258 (12 October 2000),2000,https://www.bailii.org/ew/cases/EWCA/Civ/2000/258.html,0,ml
"McCann, R v [2000] EWCA Crim 105 (28 November 2000)",2000,https://www.bailii.org/ew/cases/EWCA/Crim/2000/105.html,0,ml
Birmingham City Council v. Oakley [2000] UKHL 59 (29 November 2000),2000,https://www.bailii.org/uk/cases/UKHL/2000/59.html,0,ml
"Dyson Appliances Ltd v. Hoover Ltd [2000] EWHC Patents 62 (3rd October, 2000)",2000,https://www.bailii.org/ew/cases/EWHC/Patents/2000/62.html,0,ml
Aslam v South Bedfordshire District Council [2000] EWCA Civ 355 (21 December 2000),2000,https://www.bailii.org/ew/cases/EWCA/Civ/2000/355.html,0,ml
Glencore International AG v Metro Trading International Inc [2000] EWHC 199 (Comm) (12 October 2000),2000,https://www.bailii.org/ew/cases/EWHC/Comm/2000/199.html,0,ml
Monsanto & Ors v. Merk & Co Inc & Anor [2000] EWHC Patents 154 (4th February 2000),2000,https://www.bailii.org/ew/cases/EWHC/Patents/2000/154.html,0,ml
"British Board Of Film Classification, R v Video Appeals Committee Of British Board Of Film Classification [2000] EWHC Admin 341 (16 May 2000)",2000,https://www.bailii.org/ew/cases/EWHC/Admin/2000/341.html,0,expert
"Irving v. Penguin Books Limited, Deborah E. Lipstat [2000] EWHC QB 115 (11th April, 2000)",2000,https://www.bailii.org/ew/cases/EWHC/QB/2000/115.html,0,ml
King v RCO Support Services Ltd & Anor [2000] EWCA Civ 314 (8 December 2000),2000,https://www.bailii.org/ew/cases/EWCA/Civ/2000/314.html,0,ml
"Dingley v. Chief Constable of Strathclyde Police [2000] UKHL 14 (9th March, 2000)",2000,https://www.bailii.org/uk/cases/UKHL/2000/14.html,0,ml
Foskett v. McKeown and Others [2000] UKHL 29; [2000] 3 All ER 97 (18 May 2000),2000,https://www.bailii.org/uk/cases/UKHL/2000/29.html,0,ml
Nottingham University v Fishel & Anor [2000] EWHC 221 (QB) (19 January 2000),2000,https://www.bailii.org/ew/cases/EWHC/QB/2000/221.html,0,ml
Heathcote Ball & Co (Commercial Auctions) Ltd v Barry [2000] EWCA Civ 235 (27 July 2000),2000,https://www.bailii.org/ew/cases/EWCA/Civ/2000/235.html,0,expert
HM Inspector of Taxes v Citibank Investments Ltd. [2000] EWHC Ch 451 (02 November 2000),2000,https://www.bailii.org/ew/cases/EWHC/Ch/2000/451.html,0,expert
Lilly Icos LLC v. Pfizer Ltd [2000] EWHC Patents 49 (08 November 2000),2000,https://www.bailii.org/ew/cases/EWHC/Patents/2000/49.html,0,expert
Hamilton-Johnson v RSPCA [2000] EWHC Admin 300 (4 March 2000),2000,https://www.bailii.org/ew/cases/EWHC/Admin/2000/300.html,1,ml
Buckland & Ors v Secretary Of State For Environment Transport & Regions [2000] EWHC Admin 279 (11 January 2000),2000,https://www.bailii.org/ew/cases/EWHC/Admin/2000/279.html,0,ml
Falmouth And Truro Port Health Authority v South West Water Ltd [2000] EWCA Civ 96 (30 March 2000),2000,https://www.bailii.org/ew/cases/EWCA/Civ/2000/96.html,0,ml
Boston Scientific Ltd & Anor v Palmaz & Anor [2000] EWCA Civ 83 (20 March 2000),2000,https://www.bailii.org/ew/cases/EWCA/Civ/2000/83.html,0,ml
"Sissen, R v [2000] EWCA Crim 67 (8th December, 2000)",2000,https://www.bailii.org/ew/cases/EWCA/Crim/2000/67.html,1,ml
Hughes v Secretary of State for the Environment Transport and the Regions [2000] EWCA Civ 506 (19 January 2000),2000,https://www.bailii.org/ew/cases/EWCA/Civ/2000/506.html,0,ml
Griffis v Pembrokeshire County Council [2000] EWHC Admin 319 (31 March 2000),2000,https://www.bailii.org/ew/cases/EWHC/Admin/2000/319.html,0,expert
"W, R v [2000] EWCA Crim 3545 (10 April 2000)",2000,https://www.bailii.org/ew/cases/EWCA/Crim/2000/3545.html,0,expert
"Blackfordby & Boocorpe Action Group Ltd, R (on the application of) v Leicester County Council Hepworth Building Products Ltd & Anor [2000] EWHC Admin 304 (15 March 2000)",2000,https://www.bailii.org/ew/cases/EWHC/Admin/2000/304.html,1,expert
"Secretary of State for the Environment, Transport & the Regions & Anor v Skerritts of Nottingham Ltd [2000] EWCA Civ 60 (25 February 2000)",2000,https://www.bailii.org/ew/cases/EWCA/Civ/2000/60.html,0,ml
"Alba Radio Ltd & Anor, R (On The Application Of) v Department Of Trade & Industry [2000] EWHC Admin 423 (30 November 2000)",2000,https://www.bailii.org/ew/cases/EWHC/Admin/2000/423.html,0,ml
"Murray, R (on the application of) v Derbyshire County Council [2000] EWHC Admin 393 (6 October 2000)",2000,https://www.bailii.org/ew/cases/EWHC/Admin/2000/393.html,0,ml
Kuwait Oil Tanker Company SAK & Anor v Al Bader & Ors [2000] EWCA Civ 160 (18 May 2000),2000,https://www.bailii.org/ew/cases/EWCA/Civ/2000/160.html,0,expert
"Mayne & Anor v Ministry Of Agriculture, Fisheries & Food [2000] EWHC Admin 368 (13 July 2000)",2000,https://www.bailii.org/ew/cases/EWHC/Admin/2000/368.html,0,ml
"Novo Nordisk A/S v. DSM NV [2000] EWHC Patents 34 (21st December, 2000)",2000,https://www.bailii.org/ew/cases/EWHC/Patents/2000/34.html,0,expert
Gloster v Greater Manchester Police [2000] EWCA Civ 90 (24 March 2000),2000,https://www.bailii.org/ew/cases/EWCA/Civ/2000/90.html,0,expert
"Jones v. The Royal of Veterinary Surgeons (Royal College of Veterinary Surgeons) [2000] UKPC 47 (29th November, 2000)",2000,https://www.bailii.org/uk/cases/UKPC/2000/47.html,1,expert
"Farms, R (on the application of) v Daventry District Council [2000] EWHC Admin 382 (28 July 2000)",2000,https://www.bailii.org/ew/cases/EWHC/Admin/2000/382.html,0,ml
"Brown & Ors, R v [2001] EWCA Crim 2761 (7th December, 2001)",2001,https://www.bailii.org/ew/cases/EWCA/Crim/2001/2761.html,0,ml
Pharmacia Corporation & Ors v Merck & Co Inc & Anor [2001] EWCA Civ 1610 (14 December 2001),2001,https://www.bailii.org/ew/cases/EWCA/Civ/2001/1610.html,0,ml
"Attorney General's Reference Under S36 Criminal Justice Act 1972 AG 5/2000 [2001] EWCA Crim 1077 (4th May, 2001)",2001,https://www.bailii.org/ew/cases/EWCA/Crim/2001/1077.html,0,ml
"Pretty v. Director of Public Prosecutions and Secretary of State for the Home Department [2001] UKHL 61 (29th November, 2001)",2001,https://www.bailii.org/uk/cases/UKHL/2001/61.html,0,ml
